50:50 1but:aceto + 5M H2O,,pyranine in 50:50 mol% 1but:acetonitrile + 5M H2O,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
,,463.5799866,198.4465942,
,,463.730011,197.7297821,
,,464.019989,195.1398773,
,,464.1700134,193.7226563,
,,464.3200073,193.4009552,
,,464.6199951,191.129425,
,,464.769989,190.0248413,
,,465.0700073,187.7201843,
,,465.2200012,187.9684296,
,,465.3699951,187.1655426,
,,465.6700134,185.3690033,
,,465.8200073,185.233017,
,,465.9700012,183.282486,
,,466.2600098,182.0514984,
,,466.4100037,180.7229614,
,,466.5599976,180.6797485,
,,466.7099915,179.8316956,
,,467.0100098,178.9307251,
,,467.1600037,176.2391663,
,,467.4599915,175.5340576,
,,467.6099854,173.9487,
,,467.7600098,173.633667,
,,468.0499878,172.2493134,
,,468.2000122,170.844223,
,,468.3500061,170.2487335,
,,468.6499939,168.289032,
,,468.7999878,167.5536499,
,,468.9500122,166.8786316,
,,469.25,165.4164886,
,,469.3999939,165.9175873,
,,469.5499878,164.669342,
,,469.8500061,162.8942719,
,,470,161.6980743,
,,470.1400146,159.6373138,
,,470.4400024,159.320282,
,,470.5899963,158.1093292,
,,470.7399902,157.3527679,
,,471.0400085,156.0035248,
,,471.1900024,154.7496033,
,,471.3399963,155.1820068,
,,471.6400146,152.8192749,
,,471.7900085,152.7142029,
,,471.9400024,151.0866547,
,,472.230011,149.2971649,
,,472.3800049,149.2334747,
,,472.5299988,148.7571869,
,,472.8299866,147.2705536,
,,472.980011,146.5929718,
,,473.1300049,145.3054199,
,,473.4299927,142.7571869,
,,473.5799866,142.8492737,
,,473.730011,142.0622864,
,,474.019989,141.6821136,
,,474.1700134,141.1034851,
,,474.3200073,140.1120605,
,,474.6199951,137.0961151,
,,474.769989,137.7771606,
,,475.0700073,135.4787903,
,,475.2200012,135.5100555,
,,475.3699951,135.0740967,
,,475.6700134,132.3388519,
,,475.8200073,132.2036285,
,,475.9700012,130.7771606,
,,476.2600098,130.823288,
,,476.4100037,130.6533966,
,,476.5599976,129.8547821,
,,476.7099915,127.7335281,
,,477.0100098,127.3484344,
,,477.1600037,126.2728729,
,,477.4599915,125.3710251,
,,477.6099854,125.0103378,
,,477.7600098,123.6923523,
,,478.0499878,121.1320343,
,,478.2000122,121.6505432,
,,478.3500061,121.2121277,
,,478.6499939,119.4045029,
,,478.7999878,118.4141541,
,,478.9500122,118.3878784,
,,479.25,115.9836273,
,,479.3999939,115.876442,
,,479.5499878,115.1348419,
,,479.8500061,114.2446442,
,,480,113.551239,
,,480.1400146,112.566185,
,,480.4400024,110.393074,
,,480.5899963,110.5306168,
,,480.7399902,109.9356918,
,,481.0400085,109.1707458,
,,481.1900024,108.4885712,
,,481.3399963,107.9100876,
,,481.6400146,105.8571548,
,,481.7900085,105.5925369,
,,481.9400024,104.4132156,
,,482.230011,104.5611038,
,,482.3800049,103.7535477,
,,482.5299988,103.8774567,
,,482.8299866,101.0722656,
,,482.980011,100.6034012,
,,483.1300049,100.2694016,
,,483.4299927,98.24920654,
,,483.5799866,98.73368835,
,,483.730011,97.41036987,
,,484.019989,95.74200439,
,,484.1700134,95.65649414,
,,484.3200073,95.6177063,
,,484.6199951,94.02780914,
,,484.769989,93.70988464,
,,485.0700073,92.5734024,
,,485.2200012,91.79621124,
,,485.3699951,90.38847351,
,,485.6700134,90.29073334,
,,485.8200073,89.86766815,
,,485.9700012,89.59815216,
,,486.2600098,87.95333099,
,,486.4100037,87.42801666,
,,486.5599976,87.48358917,
,,486.7099915,86.71129608,
,,487.0100098,85.48303223,
,,487.1600037,85.95995331,
,,487.4599915,84.01308441,
,,487.6099854,83.65623474,
,,487.7600098,82.46230316,
,,488.0499878,82.23799133,
,,488.2000122,81.99795532,
,,488.3500061,81.67217255,
,,488.6499939,80.21530151,
,,488.7999878,79.03216553,
,,488.9500122,78.77148438,
,,489.25,78.39995575,
,,489.3999939,77.24849701,
,,489.5499878,77.12916565,
,,489.8500061,75.87735748,
,,490,75.05133057,
,,490.1400146,74.57509613,
,,490.4400024,74.46496582,
,,490.5899963,74.80527496,
,,490.7399902,73.63942719,
,,491.0400085,73.42784119,
,,491.1900024,72.39670563,
,,491.3399963,71.79014587,
,,491.6400146,70.70613098,
,,491.7900085,70.82118225,
,,491.9400024,70.50608063,
,,492.230011,69.51371002,
,,492.3800049,68.63615417,
,,492.5299988,68.40393066,
,,492.8299866,67.36075592,
,,492.980011,67.57718658,
,,493.1300049,67.4134903,
,,493.4299927,65.84521484,
,,493.5799866,65.53172302,
,,493.730011,65.48291016,
,,494.019989,64.54336548,
,,494.1700134,64.81115723,
,,494.3200073,65.00045013,
,,494.6199951,63.39657211,
,,494.769989,63.08974457,
,,495.0700073,62.26690674,
,,495.2200012,62.29924774,
,,495.3699951,62.10119629,
,,495.6700134,61.45812607,
,,495.8200073,61.25229645,
,,495.9700012,60.68686676,
,,496.2600098,59.79350662,
,,496.4100037,59.15891647,
,,496.5599976,59.43131256,
,,496.7099915,59.47994995,
,,497.0100098,58.38504028,
,,497.1600037,57.77245331,
,,497.4599915,58.03681564,
,,497.6099854,57.32941055,
,,497.7600098,57.14001846,
,,498.0499878,55.98674774,
,,498.2000122,56.3143959,
,,498.3500061,55.29539108,
,,498.6499939,54.97433853,
,,498.7999878,54.68218613,
,,498.9500122,54.26787186,
,,499.25,53.60886765,
,,499.3999939,52.77538681,
,,499.5499878,53.58445358,
,,499.8500061,52.8962822,
,,500,52.52926636,
,,500.1400146,52.23965073,
,,500.4400024,52.58515167,
,,500.5899963,51.40781403,
,,500.7399902,51.15228653,
,,501.0400085,51.0203476,
,,501.1900024,50.65470886,
,,501.3399963,50.32550049,
,,501.6400146,49.53837967,
,,501.7900085,49.52233887,
,,501.9400024,49.23931122,
,,502.230011,48.99676132,
,,502.3800049,48.66169357,
,,502.5299988,48.12817764,
,,502.8299866,48.36061478,
,,502.980011,47.06340408,
,,503.1300049,47.31939316,
,,503.4299927,46.46878052,
,,503.5799866,46.82961655,
,,503.730011,46.86861801,
,,504.019989,46.0147438,
,,504.1700134,45.74923325,
,,504.3200073,45.74645233,
,,504.6199951,45.01537704,
,,504.769989,44.70558167,
,,505.0700073,44.86265182,
,,505.2200012,44.96256638,
,,505.3699951,44.4831543,
,,505.6700134,43.53718185,
,,505.8200073,44.14631271,
,,505.9700012,43.90024185,
,,506.2600098,42.99210739,
,,506.4100037,43.10580444,
,,506.5599976,42.52544403,
,,506.7099915,42.00382614,
,,507.0100098,41.82398987,
,,507.1600037,42.14419937,
,,507.4599915,41.09292603,
,,507.6099854,41.70702744,
,,507.7600098,41.22732162,
,,508.0499878,40.67940521,
,,508.2000122,41.02305984,
,,508.3500061,40.38649368,
,,508.6499939,40.26636887,
,,508.7999878,40.05270767,
,,508.9500122,39.61548615,
,,509.25,39.66707611,
,,509.3999939,39.24608231,
,,509.5499878,38.93859482,
,,509.8500061,38.98975754,
,,510,38.71884918,
,,510.1400146,38.57590103,
,,510.4400024,38.02622986,
,,510.5799866,38.07372284,
,,510.730011,38.06561661,
,,511.019989,37.47564316,
,,511.1700134,37.07749939,
,,511.4700012,36.75203323,
,,511.6099854,36.67177582,
,,511.7600098,36.39821625,
,,512.0499878,36.47883987,
,,512.2000122,36.28110886,
,,512.3499756,35.88885117,
,,512.6400146,35.69850159,
,,512.789978,35.26454926,
,,512.9400024,35.20964813,
,,513.2299805,35.13638687,
,,513.3800049,34.53646469,
,,513.5200195,34.5778656,
,,513.8200073,34.33282089,
,,513.9699707,34.31722641,
,,514.2600098,34.16574478,
,,514.4099731,34.42893219,
,,514.5499878,34.12627792,
,,514.8499756,33.44364166,
,,515,33.45102692,
,,515.1400146,33.06248474,
,,515.4400024,32.86240387,
,,515.5800171,33.05713272,
,,515.7299805,32.53595352,
,,516.0200195,32.23178864,
,,516.1699829,32.29905701,
,,516.4699707,31.80703926,
,,516.6099854,31.88513565,
,,516.7600098,31.65140343,
,,517.0499878,31.03802109,
,,517.2000122,31.05681801,
,,517.3499756,30.31930923,
,,517.6400146,30.31157875,
,,517.789978,30.71299553,
,,517.9400024,29.89762115,
,,518.2299805,30.22408104,
,,518.3800049,30.10350227,
,,518.5200195,29.24160957,
,,518.8200073,29.80174828,
,,518.9699707,29.36317825,
,,519.2600098,29.38296509,
,,519.4099731,29.2019577,
,,519.5499878,29.0112114,
,,519.8499756,28.68348503,
,,520,28.8166523,
,,520.1400146,28.39988899,
,,520.4400024,28.19858742,
,,520.5900269,27.96494865,
,,520.7399902,27.74741364,
,,521.039978,27.76186752,
,,521.1900024,27.3030262,
,,521.3400269,26.85415077,
,,521.6400146,27.12894058,
,,521.789978,26.6723156,
